序号,歌名,专辑,时长,链接
1,Love Story (1989 Mix),,4:00,http://music.163.com/#/song?id=1809108646
2,Mine (Illenium Remix),Mine (ILLENIUM Remix),4:09,http://music.163.com/#/song?id=30780496
3,Cruel Summer,Summer of '23,2:58,http://music.163.com/#/song?id=2061890668
4,Rolling in the Deep,Rolling in the Deep,3:48,http://music.163.com/#/song?id=16435051
5,Waiting For Love,Summer hits 2015,3:52,http://music.163.com/#/song?id=1870755113
6,Catch My Breath,Just The Hits,4:11,http://music.163.com/#/song?id=26226510
7,Hall of Fame,Megahits Sommer 2013,3:22,http://music.163.com/#/song?id=26521860
8,Walk Thru Fire,Walk Thru Fire,3:14,http://music.163.com/#/song?id=2150087691
9,The Nights,Malaysia Hot & Viral - May 2021,2:58,http://music.163.com/#/song?id=1845625811
10,The Phoenix,The Phoenix,4:04,http://music.163.com/#/song?id=407002572
11,SOS,SOS,2:37,http://music.163.com/#/song?id=1357848241
12,Lose You Now,Lose You Now,3:13,http://music.163.com/#/song?id=1809169083
13,Angels,Smash The House Radio #102,3:34,http://music.163.com/#/song?id=31566626
14,Try,Europa FM 2013,4:07,http://music.163.com/#/song?id=26293941
15,Without You,Best of 2018,3:01,http://music.163.com/#/song?id=1470909181
16,Wicked Wonderland,Club Summer 2014,3:38,http://music.163.com/#/song?id=28852581
17,You Belong With Me (Taylor’s Version),All the Hits - November 2021,3:51,http://music.163.com/#/song?id=1894007381
18,Numb,Meteora (Deluxe Edition),3:07,http://music.163.com/#/song?id=2105759112
19,Thunder,Work From Home Bops,3:07,http://music.163.com/#/song?id=1493058725
20,Angel With A Shotgun,Symphony Soldier,3:43,http://music.163.com/#/song?id=19291941
21,Love Story,Best Country Valentine's Day 2022,3:56,http://music.163.com/#/song?id=1917549208
22,The Storm,The Storm,2:48,http://music.163.com/#/song?id=1417907835
23,Stronger,Kids Top 20 - De Grootste Hits Van 2013 - Summer Edition 2013,3:41,http://music.163.com/#/song?id=26569168
24,Children of the Sky (a Starfield song),Children of the Sky (a Starfield song),3:27,http://music.163.com/#/song?id=2077882779
25,Good Time,Fun Radio Le Son Dancefloor,3:25,http://music.163.com/#/song?id=26376338
26,Believer,Best of 2017,3:24,http://music.163.com/#/song?id=1470919891
27,Baby,Millennial Classics,3:36,http://music.163.com/#/song?id=2140626391
28,My Heart Will Go On,Complete Best,4:40,http://music.163.com/#/song?id=2308549
29,How to Love (feat. Sofia Reyes),Feel Good Workout,3:39,http://music.163.com/#/song?id=1351720516
30,Children of the Dark,Together Till the End,5:08,http://music.163.com/#/song?id=453291878
31,I Miss You,Stars,3:49,http://music.163.com/#/song?id=1381882798
32,Sweet but Psycho (Paul Morrell Remix),Sweet but Psycho (The Remixes),3:24,http://music.163.com/#/song?id=1342571532
33,Run Free,Run Free (feat. IVIE),2:50,http://music.163.com/#/song?id=500410102
34,Clsr (Aash Mehta Flip),Clsr (Aash Mehta Flip),4:41,http://music.163.com/#/song?id=427142481
35,Legends Never Die,Legends Never Die,3:55,http://music.163.com/#/song?id=506196018
