序号,歌名,专辑,时长,链接
1,勘ぐれい (灰心感),勘ぐれい,4:09,https://y.qq.com/n/ryqq/songDetail/004DJquR0JNjQ0
2,夜宴风波,夜宴风波,3:24,https://y.qq.com/n/ryqq/songDetail/000cWQlW4F7fzD
3,色は匂へど 散りぬるを (花朵艳丽 终会散落) (Full Version),色は匂へど 散りぬるを (花朵艳丽 终会散落),3:41,https://y.qq.com/n/ryqq/songDetail/000Fw3Br3MXZil
4,打火机,打火机,2:33,https://y.qq.com/n/ryqq/songDetail/001LGsOJ2hQjG0
5,A Little Story (小故事),My View,3:24,https://y.qq.com/n/ryqq/songDetail/001hdT872SO92E
6,After Rain,After Dark,4:52,https://y.qq.com/n/ryqq/songDetail/0030BkT2102XZ0
7,After The Wind,Wind Says（风说）,4:36,https://y.qq.com/n/ryqq/songDetail/004X2pdo2IFJWw
8,again (TV Version),鋼の錬金術師 FULLMETAL ALCHEMIST Original Soundtrack 1,1:39,https://y.qq.com/n/ryqq/songDetail/000AKIfC11cs8y
9,爱错,心中的日月,3:58,https://y.qq.com/n/ryqq/songDetail/004fneUm24gD2c
10,爱的魔法,他不爱我,3:11,https://y.qq.com/n/ryqq/songDetail/003QrvzS3248Wi
11,爱就一个字,我好想,4:32,https://y.qq.com/n/ryqq/songDetail/004MVmia0q98lZ
12,爱你 (就这样爱你爱你爱你随时都要一起),爱你 (就这样爱你爱你爱你随时都要一起),3:26,https://y.qq.com/n/ryqq/songDetail/004dFTat1LSo75
13,爱你的最后一天,如果没有你,3:52,https://y.qq.com/n/ryqq/songDetail/002RYe5R3D4GPs
14,爱情码头,包容,5:00,https://y.qq.com/n/ryqq/songDetail/001FOt7p33gCRq
15,爱死了昨天,爱死了,4:26,https://y.qq.com/n/ryqq/songDetail/003yyRaZ1LANRA
16,爱丫爱丫,16未成年,3:51,https://y.qq.com/n/ryqq/songDetail/0012Nn9M4Cj5Kk
17,爱在西元前,范特西,3:54,https://y.qq.com/n/ryqq/songDetail/002usg9o4GTAKf
18,Alchemy,Crow Song,4:16,https://y.qq.com/n/ryqq/songDetail/004RdEjU2rg42F
19,aLIEz,A/Z|aLIEz,4:28,https://y.qq.com/n/ryqq/songDetail/000vPA4Z1O5Dl3
20,Already Know,Love // Chaos (Explicit),3:50,https://y.qq.com/n/ryqq/songDetail/0034WkSw19Of2Q
21,Amazing Trees,2V-Alk,4:46,https://y.qq.com/n/ryqq/songDetail/000RV0MW1W9qO8
22,安和桥,安和桥 (Cover),4:08,https://y.qq.com/n/ryqq/songDetail/003bNwHG3BnsYj
23,安和桥,安和桥北,4:11,https://y.qq.com/n/ryqq/songDetail/001fpbwS2TUTjV
24,Anytime Anywhere,Anytime Anywhere,3:50,https://y.qq.com/n/ryqq/songDetail/000rIL8M0OBbUD
25,Aphrodite (阿芙罗狄蒂),SAILING NHK特集「海のシルクロード」ベストアルバム (SAILING~The Silk Road of The Sea),3:58,https://y.qq.com/n/ryqq/songDetail/001eRTJ54AVPs9
26,Apologize,Shock Value,3:04,https://y.qq.com/n/ryqq/songDetail/003goMP61RK1mV
27,APT.,APT.,2:49,https://y.qq.com/n/ryqq/songDetail/000zR7cv2QHXks
28,Avid,Avid / Hands Up to the Sky,4:10,https://y.qq.com/n/ryqq/songDetail/003FIQ9i2cgo5Q
29,把悲伤留在山上,把悲伤留在山上,3:36,https://y.qq.com/n/ryqq/songDetail/001GFbEj1e7WzU
30,白石溪,白石溪,5:31,https://y.qq.com/n/ryqq/songDetail/004fNEuf2Pncrq
31,絆 (羁绊),Rhythm of My Heart,4:30,https://y.qq.com/n/ryqq/songDetail/004dipJ33HAegd
32,剥离之茧,剥离之茧,3:30,https://y.qq.com/n/ryqq/songDetail/000Ur8OF4TLugF
33,包容,包容,4:23,https://y.qq.com/n/ryqq/songDetail/003Pz4dV4fcOjL
34,Beautiful Soul,Beautiful Soul,3:34,https://y.qq.com/n/ryqq/songDetail/001O7ON30A0Fpu
35,Because of You,Breakaway (Limited Edition),3:39,https://y.qq.com/n/ryqq/songDetail/0023F44C3hf4yF
36,Because You Live,Beautiful Soul,3:19,https://y.qq.com/n/ryqq/songDetail/00407vok4HZfeT
37,Before dawn,"TVアニメ「灰と幻想のグリムガル」CD-BOX2 『Grimgar, Ashes and Illusions ""ENCORE""』",3:40,https://y.qq.com/n/ryqq/songDetail/002YxK4y2qdY3f
